❯ python main.py --model network2 --dataset mnist --batch_size 128 --websockets --verbose
Launching the websocket workers...
LAUNCHED 38379 38382 38387
Running inference speed test
model:           network2
dataset:         mnist
batch_size:      128
         145454 function calls (138303 primitive calls) in 12.534 seconds

   Ordered by: internal time
   List reduced from 614 to 61 due to restriction <0.1>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      280    6.339    0.023    6.339    0.023 {method 'read' of 'pyarrow._flight.FlightMetadataReader' objects}
       11    2.713    0.247    2.716    0.247 /home/pierre/.miniconda/envs/ariann/lib/python3.8/site-packages/sycret/fss.py:39(keygen)
      280    0.994    0.004    0.994    0.004 {method 'write_batch' of 'pyarrow._flight.MetadataRecordBatchWriter' objects}
      326    0.795    0.002    0.795    0.002 {method 'to_pybytes' of 'pyarrow.lib.Buffer' objects}
      280    0.664    0.002    0.666    0.002 {pyarrow.lib.array}
       46    0.481    0.010    0.482    0.010 {method 'to_buffer' of 'pyarrow.lib.SerializedPyObject' objects}
    22/11    0.061    0.003   10.398    0.945 /home/pierre/Documents/AriaNN/PySyft/syft/frameworks/torch/mpc/fss.py:66(fss_op)
       46    0.059    0.001    4.061    0.088 /home/pierre/Documents/AriaNN/PySyft/syft/workers/websocket_client.py:160(_recv_msg_arrow)
       39    0.058    0.001    0.058    0.001 {function _TensorBase.random_ at 0x7fb9732abdc0}
      280    0.056    0.000    0.056    0.000 {method 'close' of 'pyarrow.lib._CRecordBatchWriter' objects}
       24    0.031    0.001    0.031    0.001 {built-in method randint}
        2    0.025    0.012    0.025    0.012 {built-in method conv2d}
      234    0.023    0.000    0.023    0.000 {method 'pack' of 'msgpack._cmsgpack.Packer' objects}
      280    0.016    0.000    0.016    0.000 {method 'do_put' of 'pyarrow._flight.FlightClient' objects}
       39    0.013    0.000    0.013    0.000 {function _TensorBase.__sub__ at 0x7fb97330a5e0}
       74    0.011    0.000    0.011    0.000 {method '_set_from_file' of 'torch._C.LongStorageBase' objects}
    16355    0.009    0.000    0.014    0.000 /home/pierre/Documents/AriaNN/PySyft/syft/serde/msgpack/serde.py:73(wrapper)
      102    0.009    0.000    0.009    0.000 {method '_write_file' of 'torch._C.LongStorageBase' objects}
       46    0.009    0.000    0.010    0.000 {pyarrow.lib.serialize}
      280    0.007    0.000    8.095    0.029 /home/pierre/Documents/AriaNN/PySyft/syft/grid/clients/data_centric_fl_client.py:205(_forward_to_flight_server_worker)
      280    0.007    0.000    0.007    0.000 {msgpack._cmsgpack.unpackb}
       11    0.007    0.001    0.007    0.001 {function _TensorBase.__mod__ at 0x7fb9732a0af0}
 5268/234    0.007    0.000    0.054    0.000 /home/pierre/Documents/AriaNN/PySyft/syft/serde/msgpack/serde.py:402(_simplify)
      234    0.005    0.000    4.884    0.021 /home/pierre/Documents/AriaNN/PySyft/syft/workers/websocket_client.py:139(_recv_msg)
       42    0.005    0.000    0.005    0.000 {function _TensorBase.__add__ at 0x7fb97328e430}
       37    0.004    0.000    0.004    0.000 {function _TensorBase.__radd__ at 0x7fb973306b80}
        8    0.004    0.001    0.004    0.001 {built-in method mul}
    24/12    0.004    0.000    1.378    0.115 /home/pierre/Documents/AriaNN/PySyft/syft/frameworks/torch/mpc/spdz.py:165(spdz_mul)
